Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured,Death,Latitude,Longitude
30-01-2020,Kerala,1,0,0,0,10.8505,76.2711
31-01-2020,Kerala,1,0,0,0,10.8505,76.2711
01-02-2020,Kerala,2,0,0,0,10.8505,76.2711
02-02-2020,Kerala,3,0,0,0,10.8505,76.2711
03-02-2020,Kerala,3,0,0,0,10.8505,76.2711
04-02-2020,Kerala,3,0,0,0,10.8505,76.2711
05-02-2020,Kerala,3,0,0,0,10.8505,76.2711
06-02-2020,Kerala,3,0,0,0,10.8505,76.2711
07-02-2020,Kerala,3,0,0,0,10.8505,76.2711
08-02-2020,Kerala,3,0,0,0,10.8505,76.2711
09-02-2020,Kerala,3,0,0,0,10.8505,76.2711
10-02-2020,Kerala,3,0,0,0,10.8505,76.2711
11-02-2020,Kerala,3,0,0,0,10.8505,76.2711
12-02-2020,Kerala,3,0,0,0,10.8505,76.2711
13-02-2020,Kerala,3,0,0,0,10.8505,76.2711
14-02-2020,Kerala,3,0,0,0,10.8505,76.2711
15-02-2020,Kerala,3,0,0,0,10.8505,76.2711
16-02-2020,Kerala,3,0,0,0,10.8505,76.2711
17-02-2020,Kerala,3,0,0,0,10.8505,76.2711
18-02-2020,Kerala,3,0,0,0,10.8505,76.2711
19-02-2020,Kerala,3,0,0,0,10.8505,76.2711
20-02-2020,Kerala,3,0,0,0,10.8505,76.2711
21-02-2020,Kerala,3,0,0,0,10.8505,76.2711
22-02-2020,Kerala,3,0,0,0,10.8505,76.2711
23-02-2020,Kerala,3,0,0,0,10.8505,76.2711
24-02-2020,Kerala,3,0,0,0,10.8505,76.2711
25-02-2020,Kerala,3,0,0,0,10.8505,76.2711
26-02-2020,Kerala,3,0,0,0,10.8505,76.2711
27-02-2020,Kerala,3,0,0,0,10.8505,76.2711
28-02-2020,Kerala,3,0,0,0,10.8505,76.2711
29-02-2020,Kerala,3,0,0,0,10.8505,76.2711
01-03-2020,Kerala,3,0,0,0,10.8505,76.2711
02-03-2020,Delhi,1,0,0,0,28.7041,77.1025
02-03-2020,Kerala,3,0,0,0,10.8505,76.2711
02-03-2020,Telengana,1,0,0,0,18.1124,79.0193
03-03-2020,Delhi,1,0,0,0,28.7041,77.1025
03-03-2020,Kerala,3,0,3,0,10.8505,76.2711
03-03-2020,Rajasthan,0,1,0,0,27.0238,74.2179
03-03-2020,Telengana,1,0,0,0,18.1124,79.0193
04-03-2020,Delhi,1,0,0,0,28.7041,77.1025
04-03-2020,Haryana,0,2,0,0,29.0588,76.0856
04-03-2020,Kerala,3,0,3,0,10.8505,76.2711
04-03-2020,Rajasthan,1,14,0,0,27.0238,74.2179
04-03-2020,Telengana,1,0,0,0,18.1124,79.0193
04-03-2020,Uttar Pradesh,6,0,0,0,26.8467,80.9462
05-03-2020,Delhi,2,0,0,0,28.7041,77.1025
05-03-2020,Haryana,0,2,0,0,29.0588,76.0856
05-03-2020,Kerala,3,0,3,0,10.8505,76.2711
05-03-2020,Rajasthan,1,14,0,0,27.0238,74.2179
05-03-2020,Telengana,1,0,0,0,18.1124,79.0193
05-03-2020,Uttar Pradesh,7,0,0,0,26.8467,80.9462
06-03-2020,Delhi,3,0,0,0,28.7041,77.1025
06-03-2020,Haryana,0,2,0,0,29.0588,76.0856
06-03-2020,Kerala,3,0,3,0,10.8505,76.2711
06-03-2020,Rajasthan,1,14,0,0,27.0238,74.2179
06-03-2020,Telengana,1,0,0,0,18.1124,79.0193
06-03-2020,Uttar Pradesh,7,0,0,0,26.8467,80.9462
07-03-2020,Delhi,3,0,0,0,28.7041,77.1025
07-03-2020,Haryana,0,2,0,0,29.0588,76.0856
07-03-2020,Kerala,3,0,3,0,10.8505,76.2711
07-03-2020,Rajasthan,1,14,0,0,27.0238,74.2179
07-03-2020,Tamil Nadu,1,0,0,0,11.1271,78.6569
07-03-2020,Telengana,1,0,0,0,18.1124,79.0193
07-03-2020,Ladakh,2,0,0,0,34.2996,78.2932
07-03-2020,Uttar Pradesh,7,0,0,0,26.8467,80.9462
08-03-2020,Delhi,3,0,0,0,28.7041,77.1025
08-03-2020,Haryana,0,2,0,0,29.0588,76.0856
08-03-2020,Kerala,8,0,3,0,10.8505,76.2711
08-03-2020,Rajasthan,1,14,0,0,27.0238,74.2179
08-03-2020,Tamil Nadu,1,0,0,0,11.1271,78.6569
08-03-2020,Telengana,1,0,0,0,18.1124,79.0193
08-03-2020,Ladakh,2,0,0,0,34.2996,78.2932
